Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100n","C_0402_1005Metric",89.750000,-35.030000,90.000000,top
"C2","100n","C_0402_1005Metric",93.500000,-32.000000,0.000000,top
"C3","100n","C_0402_1005Metric",101.800000,-34.900000,90.000000,top
"C4","100n","C_0402_1005Metric",97.980000,-44.000000,180.000000,top
"C5","10u","C_0603_1608Metric",102.800000,-47.150000,180.000000,top
"C6","10n","C_0402_1005Metric",89.916000,-39.596000,-90.000000,top
"C7","1u","C_0402_1005Metric",88.970000,-43.800000,180.000000,top
"C8","1u","C_0402_1005Metric",86.000000,-43.500000,180.000000,top
"C9","100n","C_0402_1005Metric",86.000000,-41.780000,-90.000000,top
"C10","10p","C_0402_1005Metric",88.500000,-37.520000,-90.000000,top
"C11","10p","C_0402_1005Metric",88.500000,-39.540000,-90.000000,top
"C12","22u","C_0805_2012Metric",105.750000,-44.900000,180.000000,top
"C13","22u","C_0805_2012Metric",102.800000,-49.200000,180.000000,top
"D1","RED","LED_0603_1608Metric",111.812500,-43.100000,0.000000,top
"FB1","120R","L_0603_1608Metric",86.137500,-45.450000,180.000000,top
"J1","USB_B_Micro","USB_Micro-B_Wuerth_629105150521",113.100000,-36.850000,90.000000,top
"J2","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",100.562000,-26.100000,-90.000000,top
"J3","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",88.670000,-26.100000,-90.000000,top
"J4","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",94.996000,-53.086000,90.000000,top
"J5","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical",89.916000,-53.086000,-90.000000,top
"J6","Conn_01x05_Pin","PinHeader_1x05_P2.54mm_Vertical",98.820000,-48.400000,-90.000000,top
"J7","Conn_01x05_Pin","PinHeader_1x05_P2.54mm_Vertical",105.180000,-26.100000,90.000000,top
"J8","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical",80.772000,-31.242000,90.000000,top
"R1","10k","R_0402_1005Metric",100.074000,-31.750000,180.000000,top
"R2","1k5","R_0402_1005Metric",107.050000,-36.210000,90.000000,top
"R3","1k5","R_0402_1005Metric",111.610000,-44.600000,0.000000,top
"SW1","SW_SPDT","SW_SPDT_PCM12",115.620000,-50.550000,90.000000,top
"U1","STM32F103C8T6","LQFP-48_7x7mm_P0.5mm",95.750000,-38.162500,0.000000,top
"U2","AMS1117-3.3","SOT-223-3_TabPin2",109.000000,-50.650000,-90.000000,top
"Y2","16 MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",86.000000,-38.500000,-90.000000,top
